,0,1,2,3,4,5,6
10,菓子処　わらべ,https://tabelog.com/miyazaki/A4501/A450101/45004041/,3.4,－,～￥999,ここでしか購入出来ないCAご用達の『チーズ饅頭』♪,今回のレビューは、宮崎銘菓の『チーズ饅頭』を販売する【菓子処わらべ】のレビューです。（食べログ投稿時３・４５）<br><br>今回の大分・宮崎を巡る旅の最終日は、宮崎市内でお昼にお鮨とお蕎麦をはしごで食べた後は、宮崎空港に行く前最後に立ち寄ったお店が、宮崎市民から圧倒的支持を受けこちらの【わらべ】でしか購入出来ない『チーズ饅頭』です(^^♪<br><br>宮崎神宮で近くの【薩摩蒸気屋】でもチーズ饅頭は売っていましたが、敢えてそちらでは購入せず宮崎市民に大人気な【菓子処　わらべ】で購入します。<br><br>確かに宮崎市内や宮崎空港でも『チーズ饅頭』は販売していますが、【わらべ】の『チーズ饅頭』は他では販売しておらず、仕事柄各地域のグルメに精通している各航空会社CAさん達のご用達で私も知人のCAから教えて頂きました。<br><br>さっそくお土産用にチーズ饅頭￥１３０（税込）を６個購入します。<br><br>帰京し自宅で頂きましたが、サクサクしたクッキー生地の中に濃厚なクリームチーズが入っている焼き菓子で、手作りにこだわり品質を重視されてるので、こちらの店舗でしか販売せず発送もしていません。<br><br>ようは、【わらべ】でしか食べれないオンリーワンの『チーズ饅頭』です♪<br><br>「ご馳走様でした」
11,まるしん,https://tabelog.com/osaka/A2701/A270107/27004902/,3.0,"￥1,000～￥1,999",－,,鮪 かまトロ<br>豚足<br>熱燗×3<br><br>｢味一｣が、いっぱいで入れへんかったさかい、ここに入った。<br>冬場のかす汁と言い、昔を知ってる者にとっては、魅力無くなったは、この店。<br>二度と来ーへん事は無いけど、もう積極的には来ーへんな。
12,五鉄,https://tabelog.com/saitama/A1104/A110403/11035621/,3.2,－,～￥999,なつたび_2018-Part3-最終日-最終回 - 自走式移動胃袋 ～ The nomadic stomach ～,☆シリーズトップはコチラから！★リアルタイムレポートはコチラから！<br>世間的には企業式夏季休暇の最終日で渋滞が予想されますので、アサゴハンをいただい会津若松からは磐越自動車道⇒東北自動車道と高速一本で横浜を目指すのですが、羽生PAでヒルゴハンにいたします。<br><br>コチラはPAといっても、江戸時代の町並み＝鬼平犯科帳界隈＝を再現しようとしているようでソレナリの規模がありまして、人出もナカナカであります。<br><br>フードコート的なトコロで選びましたのは…鬼平犯科帳でよく登場する五鉄という名前の店の一本饂飩というヤツであります（珍）<br><br>世の中式にはいくつかのバリエーションもあるようですが、極太の饂飩をシッカリと煮込んで仕立て上げたものが登場いたしますが、もう少し細め＆長めの方がソレっぽいのですが、まあ、調理は難しくなるので妥協しているのかもしれませんし、オリジナル（？）がそうなのかもしれません（想）<br><br><br>アヒルゴハンをいただけば、イッキに横濱へ帰りましょう！<br><br>さてさて、なつたび_2018…すでに、１年近くが経過しておりまして、なつたび_2019の準備もほぼほぼ整いつつあります。　8泊9日のツアーは、Part１＝夫婦旅編、Part２＝北海道編、Part３東北編という３部構成でありました。　ツアーの距離としては、最終日の走行距離は360キロという地味なものでありまして、累計でも2100㎞に留まっております。 <br>ココノトコロ、旅に出ると体調を崩すことも多かったのですが、今回のなつたび_2018は心身も健やかに＆楽しく終了することができましたのも、いつもながら応援してくれた読者の皆々様や太っ腹な我妻に御礼を申し上げてたいと思います。<br><br>トラゾーも健気に頑張ってくれたので、この時点では…トラゾーとの最後のロングになるとか…よもや再びドナドナを聴くことになろうとは…少ししか考えておりませんでした（過）
13,炭焼 ひなや,https://tabelog.com/miyagi/A0401/A040101/4021468/,3.0,－,"￥1,000～￥1,999",親子丼御膳@勾当台公園,"以前""mogura""というワインバーがあった場所。<br>""親子丼""の幟旗に誘われ、お初入店。<br><br>鶏そぼろと迷いに迷って、親子丼御膳を頂きました。<br><br>柔らかくも歯応えのある鶏。事前に炙っているのか、芳ばしい香りがします。出汁はちょっと濃い目ですが、半熟玉子で塩辛さをミニマイズ。バランス良いです。清湯タイプの鶏スープは、あっさりしてますが、しっかり出汁をとった深い味わい。<br><br>アジアンな内装に間接照明、隠れ家的雰囲気満載の店内。席は簡易仕切で半個室風になってます。目隠しもあり隣席が気にならないレイアウト。夜の部も活躍しそう。先ずは、次回""鶏そぼろ重""を頂きたい。<br><br>#親子丼御膳<br>#隠れ家"
14,南青山野菜基地 JOINUS店,https://tabelog.com/kanagawa/A1401/A140101/14058918/,3.2,－,－,ジビエな鹿肉ソーセージが美味しい,南青山野菜基地 JOINUS店<br><br>◾︎2017/4<br>横浜駅西口の相鉄ジョイナス地下1階にあるカレー屋さん<br><br>営業時間は11:00〜23:00<br>定休日は相鉄ジョイナスに準ずる<br><br>店内はカジュアルでお洒落な造りだ<br>女性客を狙っているのだろう<br>カウンター6席程度、4名テーブル数個<br><br>オーガニック野菜をメインとした完全植物性の優しいカレー<br>「野菜につどう」をコンセプトに、肉、魚介類、野菜を食べさせる<br>こちらでは「オーガニック」とは「信頼できる」と解釈するそうだ<br>顔の見える生産業者からの直接仕入れ<br>青山店と、ここ横浜ジョイナス店がある<br><br>主なメニューは以下<br>【カレー】<br>南青山野菜カレエ880円<br>八女茶のおんたまのせカレエ980円<br>ふわふわ揚げ豆腐とアボガドのカレエ1080円<br>禁断のジャークチキンカレエ1280円<br>野生(鹿)のソーセージカレエ1580円<br>ハーフサイズの野生カレエ600円<br>【大豆マヨネーズのドンブリ】<br>ふわふわ揚げ豆腐のアボガド丼980円<br>温玉ジャークチキン親子丼1180円<br>【オススメ】<br>にょっとすごいオーガニックプレート1380円<br>ジョイナス得セット1280円<br>【アラカルト(単品)】<br>旬野菜のオムレツ280円<br>いいとこどり旬野菜スティック380円<br>ソイマヨのポテトサラダ480円<br>ちいたけのフリット480円<br>バケツポテト680円<br>禁断のジャークチキン680円<br>うさぎにはもったいなきサラダ900円<br>温野菜の味噌豆乳クリームソース980円<br>野生(鹿)のソーセージ 1本880円 2本1600円<br>米粉のドーナツ<br>【トッピング】<br>ごはん富士(山)盛り 無料<br>オーガニックなドリンクセット280円増<br>ちいさな有機サラダ180円増<br>トッピング野菜ダブル150円増<br>八女茶の温泉たまご100円増<br>プレミアムアボガド100円増<br>ふわふわ揚げ豆腐100円増<br>禁断のジャークチキン400円増<br>鹿肉のソーセージ700円増<br>【ドリンク】<br>スペシャリティ有機コーヒー380円<br>有機ジャスミンティー<br>有機デトックスティー<br>野生のルイボスティー<br>水だし有機アイスコーヒー380円<br>アイス有機デトックスティー<br>みかんジュース<br>りんごジュース<br>琥珀の時間(生ビール)580円<br>オーガニックシチリアワイン500円<br>クラフトビール各種700円〜<br><br>全体的に高い<br><br>先着10名様へ「八女茶のたまご」トッピングの無料サービスがあるそうだ<br><br><br>野生(鹿)のソーセージカレエのごはん富士(山)盛りを注文した<br><br>カレールーは油を感じない淡白な味<br>オーガニック野菜完全植物性の優しいカレーだそうだ<br>オリジナルの濃縮ルーをベースに、煮込むのではなく野菜を併せる事で、野菜本来の甘みやフレッシュ感を活かした生野菜ルー<br>繊維たっぷり<br>もちろん低カロリー<br>「480キロカロリ やせるカレー」とのことで、ダイエットにも良いだろう<br>こだわりのカレー<br>ただ残念ながら好みの味ではない<br>コンセプトとは逆行するが、やはりカレーには油が欲しい<br><br>ジビエな鹿肉ソーセージが美味しい<br>ハム職人 平井三郎氏の「湘南ぴゅあ」から取り寄せている、添加物不使用のジビエ(鹿肉)のソーセージだそうだ<br>大きめサイズで皮がシワシワ<br>脂身も混じった粗挽きソーセージ<br>カレーと一緒なせいか、臭いはキツくない<br>例の熊肉カレーと同じ原理か<br><br>ライスは色付きの雑穀が混じったもの<br>五穀米ではなさそう<br>富士(山)盛りを頼んだが、大盛ライスの形が富士山を模しているだけで、残念ながらメガ盛りではない<br>上にほうれん草、ブロッコリー、カブ、茄子、ニンジンなどの野菜がのりカラフル<br><br>全体的にランチに使うにはお高い
15,徳記,https://tabelog.com/kanagawa/A1401/A140105/14006821/,3.3,－,－,豚骨のタンメン,廣東料理 徳記<br><br>■2019/2<br>横浜中華街にある老舗の広東料理屋<br>関帝廟通りから奥に入った路地裏にある<br><br>営業時間は以下<br>平日11:80〜15:00、17:00〜22:00 土日11:00〜22:00<br>年中無休<br><br>1945(昭和20)年創業の老舗の広東(廣東)料理店だ<br>「中華街 桂宮」で料理長を務めた袁チーフが独立しオーブンした店<br>豚足タンメンがウリだ<br><br>店内は古い<br>1階はテーブル多数<br>2階もある<br><br>土曜12:30に伺ったが満員御礼で食べるのは断念した<br><br><br>■2019/6<br>リベンジしに伺った<br>なんと店がリニューアルされて綺麗になってる！<br><br>店内は綺麗<br>白壁、黄色いテーブルクロス<br>4名テーブル3、6名テーブル1、4名ボックステーブル4<br>卓上には、醤油、酢、辣油、胡椒、爪楊枝、紙ナプキン<br>BGMは中国POPS<br>店内禁煙<br><br>日曜12:20頃に伺った<br>客入り80%だったが、12:30には一気に居なくなった<br>客層は日本人観光客だけでなく、店員さんと中国語で話している客もいる<br>中華街内に住む地元客のようだ<br><br><br>主なメニュー(税抜)は以下<br>【平日ランチ】(週替わり)<br>A 海老のチリソース煮700円<br>B 鶏唐揚げのマヨネーズ添え700円<br>C レバーと野菜の四川風700円<br>D 豚肉とピーマン炒め700円<br>1 特製豚足麺950円<br>2 ラーメン+半チャーハン700円<br>3 担々麺700円<br>4 チャーシューいり醤油焼きそば700円<br>【通常メニュー】<br>徳記豚足麺950円<br>ゴマ団子480円<br>三種の具ハルマキ500円<br>レタスの葱生姜ソースかけ600円<br>五目冷麺900円 特製豚足700円<br>インゲンの四川味噌炒め780円<br>小海老の唐辛子揚げ780円<br>豚肉とピーマンの細きり炒め800円<br>豆苗のニンニク炒め800円<br>マーボー豆腐800円<br>白身魚の甘酢あんかけ800円<br>海鮮タンメン800円<br>広東XO醬チャーハン850円<br>牛センマイの葱生姜ソースかけ880円<br>牛スネ肉とハチノス四川味噌和え880円<br><br><br>豚足タンメン(徳記豚足麺)を注文した<br><br>タンメンと豚足煮込みは別皿となっている<br><br>豚足煮込みは2足分<br>プルプルでコラーゲンたっぷり<br>所謂肉は殆ど無い<br>太めの骨<br>かなり柔らかく煮込まれているため、箸だけで解して食べれる<br>ボリューム感あり<br><br>タンメン<br>スープは中華料理に多いシンプルな醤油味<br>深みは感じない<br>具は刻みネギのみとシンプルなもの<br>麺は少し太めの自家製のストレート平打ち麺<br>コシがある玉子麺だ<br>タンメン単品としては極めて普通以下だろう<br><br>タンメンに豚足を入れてみる<br>骨を取りながら食べる<br>すぐに失敗したことが分かった<br>豚足は骨が大半のため、タンメンの上にのせてしまうと、骨取りが面倒<br>スープを汲むと身と骨が混じる<br>やはり考えられた上で別皿で持ってくるのだろう<br>ただしコラーゲンたっぷりの豚足煮汁と醤油スープが混じり合い、味は変化する<br>それでも味は微妙だ<br><br>小皿に香の物<br>大根、キュウリ、人参の漬けたもの<br>脂っぽさの箸休めになる<br><br><br>正直、全体的に余り美味しいとは言えない<br>とは言え、豚足のラーメンは他ではなかなかお目にかかれず希少価値がある<br>勿論、美味しいなら他店でも真似をするだろうが、やはり考えられて奇を衒らったものと感じてしまう<br>話題性、インスタ映えは良い<br>私的には再来はないだろう
16,つるや食品,https://tabelog.com/aichi/A2301/A230101/23070147/,3.4,"￥2,000～￥2,999",－,サクッとちょい呑み,≪２０１9／06／15／土≫　名古屋市中村区名駅4<br><br>さて … おとなしく名駅向かって帰りましょ！と、スマホを覗けば、まだ…子供のお時間。← 何時の事やねん！<br><br>と、言う訳で焼鳥とアルコールの香りに釣られて訪れたスポットがこちら♡<br><br>柳橋市場内に存在する、焼鳥屋さん。活気付く早朝とは裏腹に夜の街には相応しく無い雰囲気と思いきや…とある一角に賑やかな人集りが …<br><br>そんな訳で、こちらでチョイ呑みを致します。<br><br><br>◆ チューハイ 2杯<br><br>◆ 砂肝 ／ もも（塩）／ ハツ（塩）／ レバー（塩）<br><br>チューハイのグラスがびっくりサイズ。チョイ呑みのつもりでしたが…がっつり呑みです（笑）<br><br>焼鳥は2本セットでオーダーします。しっかりとした肉質にジューシーで美味しい味わい。<br><br>柳橋市場内の、こちらのお店。リーズナブルでチョイと立ち寄れるこの雰囲気良かったですね〜♬
17,銀座 若松,https://tabelog.com/tokyo/A1301/A130101/13007752/,3.0,"￥1,000～￥1,999",－,あんみつ発祥のお店☆「銀座 若松」,"とある日、次の仕事まで未だまだ時間がある～ちょっとお腹に入れておこう。久し振りに甘味処にでも…と思って探してみると、エッ、あんみつ発祥のお店発見。全然知らなかった…銀座コア一階。ブックファーストがあった頃はちょくちょく寄っていました。<br><br>コアの一階といえば、今ではオスロコーヒーの印象が強くて、まさか奥に甘味処があるとは…平日19時過ぎ、先客なし後客1組。もう、入り口から寂れたか雰囲気がプンプン。まぁ、コア自体がそうだけれど…それでも未だにホロスコープカードがあるのが微笑ましい。<br><br>銀座若松さんは、1894（明治27）年創業の老舗。未だ甘いものが御馳走だった時代、常連のお客様から「もっと甘いものが食べたい」との要望があり、２代目森半次郎があんみつを考案したそうです。昭和５年に誕生したあんみつ。<br><br>コアの一番奥にある若松さん。ショーケースには重みのある看板も一緒に掲げてあります。きっと昔は、趣のある素敵なお店だったことでしょう。暫し迷って、クリーム白玉あんみつ1,250円にします。<br><br>直ぐにお茶を頂きました。粉茶かなぁ。綺麗な緑色。オリジナルの湯のみです。流石。渋いわ。今ではすっかり外国人観光客(特に中国の方々）のメッカと化している銀座。<br><br>後客のカップルさんは、北欧系でしたが…おふたりでひとつのあんみつを頼んでいらっしゃったご様子。まぁ、平日だからいいのかな。メニューには、お一人様一品以上のご注文を、との注意書きが見えます。<br><br>通路も割りと広く落ち着いている店内ですが、ベビーカーは畳んでの入店。直ぐに到着～お絞りとともにやって来ました。ヴァニラアイス、白玉が5個、粒あん、チェリー、みかん、パイナップル、応答、寒天、抹茶寒天、赤えんどう豆。<br><br>黒蜜が添えられています…何故にこんなにギリギリまで入れたんやろか…客に気を使わせる量。サービス？？いっただっきまーすっ。アイスクリームはラクトアイスに近いややさっぱり系（時折シャリッと食感）、ヴァニラビーンズは見えません。美味しい。<br><br>黒蜜美味しいなぁ。奄美大島産の黒砂糖などを使っているそうです。あんこは思いの外さらり。砂糖多めですが短時間で炊き上げているとか。抹茶羊羹が松の形なのはいい。近くに歌舞伎座もあるし。たっぷり寒天も歯ごたえがあり、美味しい。伊豆大島産の天草を使っているそう。小豆は十勝産。<br><br>白玉は程よい茹で加減。赤えんどう豆はほっくり。しかし…やっぱり高いよね。フルーツもどこかしら品がありますが…まぁこの穴場感はいいかも。休日や昼間は混むのかな。ご馳走様でした～。"
18,ディエゴ・バイ・ザ・リバー,https://tabelog.com/kanagawa/A1404/A140403/14036704/,3.5,－,－,味は特別では無いが、雰囲気も良く満足,ディエゴ・バイ・ザ・リバー<br><br>■2019/5<br>片瀬海岸にあるアメリカンダイナー<br><br>営業時間は以下<br>平日11:00〜21:30<br>土日祝8:00〜21:30<br>火曜定休日<br><br>目の前は境川<br>隣はサーフボード置場<br><br>店内はかなりお洒落で心地良い<br>1階はカウンター、テーブル席、自家製マフィンの持ち帰り販売<br>2階は広く、4名テーブル8個程度、テラス席<br>テラス席側の景色は、境川の先に江の島が臨める<br>天井と壁は薄いピンク<br>床はコンクリートと板<br>壁にはサーフボードと、波・貝殻・花などをテーマとしたパステルカラーの絵画が飾られている<br>BGMは南国風の洋楽<br><br>土曜10:00に伺ったが、先客は4組6名程度と空いている<br>店内海側2テーブルは予約席だそうだ<br><br>店員さんは、1階に中年女性、2階に初老女性1、初老男性1、若い男性2<br>家族経営なのかな<br><br>主なメニューは以下<br>【モーニング】【モーニングプレート】<br>卵、ベーコン、サラダ、ハッシュドポテト、イングリッシュマフィン850円<br>サーモン、サラダ、ジャーマンポテト、イングリッシュマフィン850円<br>【モーニング】【トースト&サンドウィッチ】<br>本日のサンドウィッチ600円<br>アボガド&トマト、ライ麦パン700円<br>フライドエッグ、ベーコン&アボガド、イギリスパン700円<br>【モーニング】【パンケーキ】<br>ベリー&ヨーグルト900円<br>【ランチ】【ボウル】<br>タコライス1000円<br>チキンオーバーライス1200円<br>オーブン焼きチーズカレー1200円<br>グリル豆腐の麻婆ソース揚げナス添え1300円<br>【ランチ】【パスタ】<br>アボガド&ベーコン1000円<br>カキとなめたけの大根おろしパスタ1100円<br>メキシカンシーフードパスタ1600円<br>【ランチ】【プレート】<br>チキンソテー グレービーガーリックソース1200円<br>湘南野菜と鶏むね肉のサラダ仕立て1200円<br>豆腐ステーキ&ファラフェル1200円<br>DIEGOハンバーグステーキ1300円<br>モチコチキン&ガーリックシュリンプハワイアンプレート1400円<br>ポークかたロース木の子クリーム煮込み1600円<br>【ランチ】【ハンバーガー&ドッグ】<br>ハンバーガー1000円<br>アボガドバーガー1100円<br>チーズバーガー1100円<br>アボガドチーズバーガー1200円<br>チリバーガー1400円<br>カリフォルニアバーガー1500円<br>チリドック1200円<br>ファラフェルピタパン1200円<br>【ランチ】【その他】<br>フレンチフライ500円<br>ピクルス500円<br>ガーリックシュリンプ950円<br>スープランチ ASK<br>オードブルプレート1500円<br>しらすとキャベツ 塩昆布のサラダ500円<br>ローカルサラダ500円<br>シーザーサラダ750円<br>【ドリンク】<br>セットビール350円増<br>セットワイン350円増<br><br><br>ハンバーガーは11:00から注文可能<br><br><br>モーニングプレートの上の方(オレンジジュース)を注文した<br>卵は目玉焼き/スクランブルエッグと選べるが、目玉焼きとした<br><br>セットの構成は、イングリッシュ・マフィン、ベーコン、サラダ、ハッシュドポテト、ドリンクのセットだ<br><br>マフィンは冷めている<br><br>サラダはトマト、レタス<br><br>ベーコンはカリカリまでいかず、生感がある<br><br>目玉焼きは半熟<br><br>HEINZとトマトケチャップをつけて、マフィンで挟んで食べる<br>普通に美味しい<br><br><br>味は特別では無いが、雰囲気も良く満足できた<br>次回来店時は11:00以降に伺い、ハンバーガーを注文したい
19,Lucca,https://tabelog.com/aichi/A2301/A230104/23047705/,4.2,－,－,美味しいお肉と日本酒にメロメロです(〃ω〃),マイレビ様達が沢山訪問されていてずっと気になっていたルッカさん٩(ˊᗜˋ*)و<br><br>念願叶ってついに訪問！<br>幹事様ありがとうございます♡<br><br>こちらのお店は日本酒とハンバーグなどのお肉料理が人気のようで…、<br><br>今回は肉！肉！酒！酒！なコース料理を頂いてきましたよ〜♬<br><br><br>コース内容は、<br><br>・ローストビーフ<br>・豚足<br>・ハンバーグ<br>・チーズチョッパル<br>・牛ホホ肉のピザ<br>・ハラミステーキ<br><br>というラインナップ。肉肉肉！<br>こちらのお料理に飲み放題付きで4000円！<br>コスパ良すぎませんか(O_O)！<br><br>しかもしかも！<br>飲み放題の日本酒の中に私の大好きな九平次もある〜(*ﾟ∀ﾟ*)<br>飲み放題のお酒のラインナップについては説明すると長くなっちゃうので是非写真をご覧になってください♡<br><br><br>日本酒を早く飲みたい気持ちを抑えつつ…、とりビーで乾杯です！<br><br>◆ローストビーフ<br>なんと松阪牛！柔らかい、お肉美味しい！<br>これぞシンプルイズベスト☆<br><br><br>◆豚足<br>人生初の豚足٩(ˊᗜˋ*)و<br>食べられるか不安だったけどプルプルで脂っぽくもなくて美味しかった！<br>味付けがすごく美味しくて沢山スープ飲んじゃった♡←安定の塩分過多<br><br><br>◆ハンバーグ<br>こちらのお店の人気メニュー！<br>事前に皆様の口コミを見たらシャキシャキ玉ねぎと書いてあったので生玉ねぎの辛味が苦手な自分は大丈夫かなー、と思ってましたがそんな心配する必要なかったよ〜。<br><br>玉ねぎは食感シャキシャキを残しつつも、辛味や玉ねぎ臭は無く美味しい！<br>とっても肉肉しいハンバーグでお肉大好きな方にはたまらんですよ♡<br><br><br>◆牛ホホ肉のピザ<br>炭水化物までお肉ちゃんだよ(*^^*)<br>このピザも中毒性ある、美味しい<br><br><br>◆チーズチョッパル<br>パクチートッピングで♡<br>ここでやっと野菜を口に入れた気がする笑<br><br><br>◆ハラミステーキ<br>豪快！ハラミ大好きなわたくし大歓喜でございます。<br>肉奉行様が軽やかな手つきで一口大に切って下さりました、ありがとうございます♪(´ε｀ )<br><br><br>◆感想<br><br>お肉の大パレードだったよ〜♡<br><br>創作肉料理に、肉本来の旨味を感じることが出来る肉料理にお腹も心も満たされました(*´ω｀*)<br><br>メニューも色々種類豊富なようなのでまた再訪しなければ！<br>というかもう既に次の予約入れてます♡<br><br>サプライズバースデーしたりすごく楽しい夜でした( ´∀｀)<br>ありがとうございました♡<br><br>また次回の訪問も楽しみです！<br>ご馳走様でした(*^^*)♬
20,石鎚山山頂山荘,https://tabelog.com/ehime/A3802/A380202/38009753/,3.2,－,～￥999,伝説の名峰　苦労して雨中を登頂　疲れた！,"石鎚山は愛媛県の標高1,982m。もちろん日本百名山の1つで日本七霊山。とにかくパワースポットで。山の全体が神と崇められている神聖な山。あの天狗岳（頂上）の威容は有名で。西日本登山のシンボル。さすが富士山、立山、白山と並ぶ。<br><br>本格登山は厳しいので。途中までロープウェイを利用。標高455mの下谷駅から。一気に標高1,300mの成就駅まで。遠くに瀬戸内海の眺望が。登山への期待も高まる。成就社からなんと。下りが続くので唖然。その分、登りが増えるので。<br><br>そしてその後登りが延々と。板や丸太を使用した階段が多い。歩きやすいが階段は階段。かなり上がったところで鎖場が。石鎚山といえば日本屈指の。鎖場の山と言われる。鎖場は4カ所。最もきついのが、試しの鎖場。ほぼ垂直で私には無理。<br><br>結局、雨が降っており。鎖は諦め迂回路を。そして標高1,974mの石鎚山（弥山）山頂に。本来は四国の山々や。瀬戸内の眺望が広がるが。この日は残念ながら小雨の中。それで、まずは山頂山荘で休息。温かい「あめ湯」が有り難い。<br><br>これで一気に体が温まる。6月だが山頂は6度程度。とにかく身体は冷えている。この山荘には。カレーライス、親子丼、うどんなど。メニューが豊富。山荘以外には休息所がないので。賑わっている。またその脇には石鎚神社も。<br><br>下りは雨でぬかって危ない。私も靴に不備が生じ困った。それに身体が硬くて。日頃からランニングや水泳など。心がけているが、身体の柔らかさなどに欠けている。１人の女性が滑ってしまった。すぐに救出したが。ベテランでも発生する。<br><br>登頂の達成感を得たが。反省ばかりの登山だった。"
21,餃子の福包 新宿店,https://tabelog.com/tokyo/A1304/A130402/13050544/,3.3,－,－,焼き餃子,にんにくチャージの必要を感じてこのお店へ。<br>夜にお客さんが並んでるのをよく見てたので前から行ってみたいお店でした。<br>17:30くらいに来店。焼き餃子、牛煮込み、そぼろ温玉ご飯を注文。第1印象は、、安い。<br>3分くらいで牛煮込みが到着。<br>15分くらいで餃子とそぼろ温玉ご飯到着。<br>そぼろ温玉ご飯は汁がたくさんのオジヤ系でちょっとお粗末。餃子はまぁ普通かなぁ。ちょっとよくわからなかったのでまた！チャレンジ！
22,よってこや 枚方駅前店,https://tabelog.com/osaka/A2707/A270702/27009086/,2.5,～￥999,－,,まぁ、「よってこや」は、こんな物やな。
23,ポッポ 葛西店,https://tabelog.com/tokyo/A1313/A131305/13166713/,3.4,－,－,昔からあるヨーカドーポッポ♡やっぱりコスパ抜群♪,≼2019年6月21日 再訪問≽<br><br>イトーヨーカドーが出来た時から入ってるポッポさん。<br>夕方時にアリオに来まして、お腹が減っていたのでたこ焼きを♪<br><br>先日新浦安のニューコースト店に行ったときは気づきませんでしたが<br>店舗によって価格が違うんですね。<br>結論から言うと、ここのポッポのが安いです。<br>そんな中で下記をオーダー。<br><br>✦たこ焼き　8個入り　399円(430円税込み)<br><br>✦フライドポテト　山盛りポテト　191円(206円税込み)<br>クーポンにて1サイズアップ♪<br><br>安さもあってかタピオカ同様行列が。笑<br>あと、こちらも作り置きはせず、オーダー後調理する様で出来立てが食べられます♪<br>店員さんが２人で回していたので、とっても忙しそうです。<br>が、私が並んでる時がたまたま人が少なかったみたいで、<br>後々プラス２人増えてましたね。<br>たこ焼きの機械は自動で回るタイプ。<br><br>こちらも、出来上がるまで席でウェイティング。<br>ポータブル機械が出来上がりを教えてくれるやつですね！<br>大体１５分ほどで提供でした。<br>出来立てが嬉しいので、そのくらいの時間は許容範囲。<br><br>焼き立てあっつあつ♡<br>しかもタコがなかなかちゃんとしてる物が入ってますよ！<br>味は新浦店と変わりなく、従順ですね。<br>柔らかい出汁たこ焼き。<br><br>フライドポテトはお塩多めにお願いしましたが<br>やはりちょっと薄味。<br>しかし揚げたて！ケッチャプ付けて美味しく食べました。<br><br>美味しかったぁ。<br>お腹が空いてたので余計に染み渡りました。笑<br><br>また買いに行きますね。<br>ごちそうさまです。
24,ブーランジェリー マルシェ,https://tabelog.com/miyagi/A0401/A040104/4016609/,3.4,－,"￥1,000～￥1,999",ブランチ兼昼呑みのアテに@八乙女,久々にリピート。<br><br>相変わらずの人気振りで、恒常的な駐車場渋滞。<br><br>サンドウィッチ（エビカツと野菜）・エッグタルト・シナモンロール・キャラメリゼしたナッツのクロワッサンを購入。<br><br>イートインせず、即帰宅。サンドウィッチはブランチ兼昼呑みのアテに（笑）。<br><br>#サンドウィッチ<br>#昼呑み
25,オフロード,https://tabelog.com/hyogo/A2803/A280303/28001362/,3.8,－,－,野菜カレーランチをいただきましたw,今日は宝塚の阪急逆瀬川駅からすぐのアピア2内にある「オフロード」さんへ行ってました。<br><br>お店の方もなかなかご年配になられてますからあまりせかしたりしないでくださいね。<br><br>「オフロード」さんでは過去にカレー以外頼んだ事はないし、今日も勿論カレーが食べたいから来たのでありますw<br>今日は「野菜カレー」を注文しました。<br><br>今回はランチタイムに来てるのでランチミニサラダが付いてあります、少しですがフルーツが入ってるのも嬉しいですね～！<br><br>ランチタイムにはドリンクやスープが150円でいただけるので、オニオンスープとヨーグルトドリンクも追加しましたw<br><br>そして「野菜カレー」が運ばれてきました。<br>ソースポットに入っているカレールーをサフランライスにかけていただきます。<br><br>そうそう、このカレーなんですよね～w<br>玉ねぎの甘味旨味の中にスパイスが効いてくる美味しいカレーなんですよ。<br>今回「野菜カレー」を注文したのは野菜好きなのもあるんですが、チキンカレーとビーフカレーは今まで何度も頼んだことがあるけど野菜カレーはかなり久しぶりだったのもあるんですけどねw<br><br>ここのカレーはやっぱり美味しい!<br><br>とても美味しかったです。<br>ごちそうさまでした。
26,てんがらもん,https://tabelog.com/tokyo/A1301/A130103/13202317/,3.7,"￥3,000～￥3,999",－,イタリアンって雰囲気ではないけれど,今宵は新橋でお疲れちゃん。<br><br>駅前にあるニュー新橋ビルで飲むかと先輩。<br>こんなビルに飲み屋があるんですか？<br>なんてついて行くと<br>なんじゃこのビルはｗｗ<br>怪しいお店いっぱいやん。<br><br>でもそんな中に飲食店もいろいろとあるんやね。<br>イタリアンカラーのお店まであるわ。<br>イタリアンまであるとはビックリ。<br>ここが一番まともそうじゃない？<br>というか、このビルに相応しくないような？<br><br>思ったようなオシャレイタリアンでは<br>なかったけれど、ある意味ホッとする感じ。<br><br>ボトルビールもある。<br>チェリーのビールもあったので、<br>今宵はチェリーのビールで乾杯っちゃおうかな。<br><br>ビールにはやっぱりソーセージ。<br>からの、イタリアンらしくカプレーゼ。<br><br>仔羊のロースト、これ美味しい！<br>本日のイチオシかな。<br><br>ワカサギのフリットやら、<br>忘れちゃったけど、他のもいくつか注文。<br>あんまりイタリアンっぽくないメニューも多いけど<br>やっぱりオヤジたちにはオシャレ過ぎてもダメなのか？<br><br>ゴーヤチャンプルやらエビチリなどもあり<br>もはやどこの国の料理かもわからない（笑）<br>そんなお店だったけど、楽しかった。
